nom;quantite;unite;stock_odoo;compte_par;compte_le;envoye_le
"SM- Madeleine";"0";"Units";"100";"YASMINA BENATTABOU";"2026-09-02T07:29:30.802+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- mini  Pain Suisse";"0";"Units";"316";"YASMINA BENATTABOU";"2026-09-02T07:29:35.284+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Fond de tarte nature 23 cm";"11";"Units";"9";"YASMINA BENATTABOU";"2026-09-02T07:29:58.892+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Base CBS 23 cm";"3";"Units";"1";"YASMINA BENATTABOU";"2026-09-02T14:19:48.913+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Ghriba Chocolat";"0";"kg";"-32.35";"YASMINA BENATTABOU";"2026-09-02T07:32:24.281+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Muffin Myrtille";"0";"Units";"15";"YASMINA BENATTABOU";"2026-09-02T07:32:27.226+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche noisette dulcey indiv 25";"0";"Units";"2";"YASMINA BENATTABOU";"2026-09-02T07:32:32.834+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Sirop d'imbibage Baba";"0";"g";"1699";"YASMINA BENATTABOU";"2026-09-02T07:32:36.384+00:00";"2026-09-03T21:13:17.195+00:00"
"SM-Pr  Pistache fleur d'oranger indiv";"0";"Units";"4";"YASMINA BENATTABOU";"2026-09-02T07:33:08.994+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Donuts Maison 2026";"137";"Units";"190";"YASMINA BENATTABOU";"2026-09-02T07:34:31.603+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pain au Chocolat";"38";"Units";"41";"YASMINA BENATTABOU";"2026-09-02T07:35:06.13+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pain Suisse";"73";"Units";"72";"YASMINA BENATTABOU";"2026-09-02T07:36:34.824+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Mini pain Chocolat";"0";"Units";"105";"YASMINA BENATTABOU";"2026-09-02T07:36:56.042+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Mini Croissant";"0";"Units";"396";"YASMINA BENATTABOU";"2026-09-02T07:36:59.982+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit a la cuillere (plaque)";"1";"Units";"1.48";"YASMINA BENATTABOU";"2026-09-02T11:42:28.62+00:00";"2026-09-03T21:13:17.195+00:00"
"SM-Daquoise buche pistache 25";"0";"kg";"2.13";"YASMINA BENATTABOU";"2026-09-02T07:42:07.475+00:00";"2026-09-03T21:13:17.195+00:00"
"SM-Daquoise plaque maatouk";"0";"kg";"2.4";"YASMINA BENATTABOU";"2026-09-02T07:42:12.592+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Pécan caramélise flan Production";"1685";"g";"100";"YASMINA BENATTABOU";"2026-09-02T07:46:32.401+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Amandes Caramelisees Production";"3028";"g";"3496";"YASMINA BENATTABOU";"2026-09-02T07:46:55.725+00:00";"2026-09-03T21:13:17.195+00:00"
