nom;quantite;unite;stock_odoo;compte_par;compte_le;envoye_le
"SM. pate sable cacao (Tarte)";"3600";"g";"-1418";"YASMINA BENATTABOU";"2026-09-02T11:03:36.407+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Confit citron";"0";"g";"-3220";"YASMINA BENATTABOU";"2026-09-02T11:50:32.395+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. caramel tatin KG";"0.96";"kg";"1.75";"YASMINA BENATTABOU";"2026-09-02T11:51:43.468+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. mousse meringue citron";"0";"g";"232";"YASMINA BENATTABOU";"2026-09-02T11:52:00.256+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Citron zest";"1664";"g";"-17189.46";"YASMINA BENATTABOU";"2026-09-02T11:53:53.57+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Citron liquide";"4630";"g";"-44698.56";"YASMINA BENATTABOU";"2026-09-02T11:57:52.112+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. creme amande";"1332";"g";"800";"YASMINA BENATTABOU";"2026-09-02T12:03:21.978+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Zest d'orange";"0";"g";"-1008";"YASMINA BENATTABOU";"2026-09-02T12:11:54.084+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Purée de Mangue";"11000";"g";"-19365.1";"YASMINA BENATTABOU";"2026-09-02T12:20:58.121+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Purée d'Ananas";"16000";"g";"11473.32";"YASMINA BENATTABOU";"2026-09-02T12:21:58.664+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Purée de Passion";"3000";"g";"33936.02";"YASMINA BENATTABOU";"2026-09-02T12:22:04.868+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Purée de Fraise";"0";"g";"5879.12";"YASMINA BENATTABOU";"2026-09-02T12:22:32.401+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Purée de Citron Vert";"0";"g";"2000";"YASMINA BENATTABOU";"2026-09-02T12:22:34.936+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Purée de Citron Jaune";"0";"g";"8000";"YASMINA BENATTABOU";"2026-09-02T12:22:51.22+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Purée de Myrtille";"0";"g";"5000";"YASMINA BENATTABOU";"2026-09-02T12:26:37.285+00:00";"2026-09-03T21:13:17.195+00:00"
"SM Ghriba Behla";"0";"g";"25560";"YASMINA BENATTABOU";"2026-09-02T12:27:00.818+00:00";"2026-09-03T21:13:17.195+00:00"
"SM-Pr Suprême amande version Maatouk";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T09:45:22.991+00:00";"2026-09-03T21:13:17.195+00:00"
"SM-Suprême amande version Maatouk";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T09:45:30.904+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- mozzarella";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T09:47:43.163+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Callebaut Couverture Lait";"7.429";"kg";"4.93";"YASMINA BENATTABOU";"2026-09-03T11:30:31.126+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. crème frangipane";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T10:58:40.608+00:00";"2026-09-03T21:13:17.195+00:00"
"SM-Suprême Pistache version Maatouk";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T10:58:41.954+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Crème Pâtissière Croclair";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T10:58:43.832+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Mousse pistache maatouk";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T10:58:45.078+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm.Mousse buche pistache 25";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T10:58:54.745+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Corps Creux";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:00:12.191+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Riz";"0";"kg";"-0.74";"YASMINA BENATTABOU";"2026-09-03T11:00:21.446+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Safran";"0";"g";"-46.38";"YASMINA BENATTABOU";"2026-09-03T11:00:31.133+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Riz au Lait";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:00:38.128+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Avoine";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:00:40.67+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Pavot";"0";"g";"-3141.59";"YASMINA BENATTABOU";"2026-09-03T11:00:42.119+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Delice";"0";"pack 2 kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:01:03.663+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Gingembre en poudre";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:01:07.369+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Pâte feuilletée achetée";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:01:19.553+00:00";"2026-09-03T21:13:17.195+00:00"
"SM Genoise Chocolat KG CD";"0";"g";"-4766.48";"YASMINA BENATTABOU";"2026-09-03T11:01:24.154+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- 35 cm Vitrine (Citron)";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:01:48.265+00:00";"2026-09-03T21:13:17.195+00:00"
"SM Pate a sucre Melange CD*";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:01:50.236+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- 100% vanille indiv";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:01:51.613+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Babka";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:01:55.807+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche  passion framboise 10 pers  25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:07.575+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche  passion framboise indiv  25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:11.938+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche chocolat 10 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:13.317+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche chocolat 5 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:14.691+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche chocolat indiv 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:16.64+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche citron meringué 10 pers Prod 2024";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:17.826+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche citron meringué Indiv Prod 2024";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:21.021+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche noisette dulcey 10 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:22.351+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche noisette dulcey 5 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:23.479+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche noisette dulcey indiv 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:25.469+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche pistache 10 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:26.616+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche pistache 5 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:27.828+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche pistache indiv 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:29.513+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche Supreme 5 pers Prod 2024";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:40.952+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Buche Supreme Indiv Prod 2024";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:42.385+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- cadre buche  cheese cake passion framboise";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:47.436+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- cadre buche chocolat";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:49.698+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- cadre buche noisette dulcey";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:02:50.998+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- cadre buche pistache";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:03:09.54+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Cookies ch B";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:03:11.559+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Craquant pistache maatouk";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:03:15.621+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Farce Babka Nutella";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:03:21.185+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- flan vanille 20 cm";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:03:24.573+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Galette Frangipane Crue (6)";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:03:26.165+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Galette Praliné Noisette Crue (10)";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:03:28.707+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm- Le Citron Framboise (1)";"0";"Units";"-5";"YASMINA BENATTABOU";"2026-09-03T11:04:42.892+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Mini Browcookie";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:04:44.667+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- mini Fond de tarte cacao";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:04:47.161+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- mini Fond de tarte nature";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:04:49.229+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Paton Buche citron production";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:04:50.755+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Paton buche supreme";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:04:51.919+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche  passion framboise 5 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:04:56.772+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche  passion framboise indiv  25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:04:58.381+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche chocolat 10 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:05:00.005+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche chocolat 5 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:05:01.23+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche chocolat indiv 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:05:02.534+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche noisette dulcey 10 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:05:03.767+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm- Muffin Chocolat";"0";"Units";"11";"YASMINA BENATTABOU";"2026-09-03T11:05:39.964+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm- Pr tarte cbs 18 cm";"3";"Units";"4";"YASMINA BENATTABOU";"2026-09-03T11:09:27.216+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm- Pr tarte cbs indiv";"43";"Units";"43";"YASMINA BENATTABOU";"2026-09-03T11:09:40.221+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Pâte Viennoiserie achetée";"0";"Units";"400";"YASMINA BENATTABOU";"2026-09-03T11:10:09.607+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Biscuit digestive";"4.4";"kg";"22.49";"YASMINA BENATTABOU";"2026-09-03T11:15:42.415+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Mousse pistache";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:31:16.964+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Paris brest cuits  production";"32";"Units";"32";"YASMINA BENATTABOU";"2026-09-03T11:11:40.135+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Coriandre moulue";"0";"Units";"3";"YASMINA BENATTABOU";"2026-09-03T11:13:30.733+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Canelle";"0";"g";"4028.84";"YASMINA BENATTABOU";"2026-09-03T11:13:35.963+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche pistache 5 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:31:00.021+00:00";"2026-09-03T21:13:17.195+00:00"
"SM-Daquoise Individuelle";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:33:39.424+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit buche noisette 25";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:33:45.205+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. biscuit vanille (100%) Indiv";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:33:56.497+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Ganache cremeuse rocher";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:59.261+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Multigrains";"0";"g";"25155.15";"YASMINA BENATTABOU";"2026-09-03T11:13:33.26+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Anis";"0";"g";"1496.28";"YASMINA BENATTABOU";"2026-09-03T11:13:37.279+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Cacao Extra rouge";"3";"kg";"22.78";"YASMINA BENATTABOU";"2026-09-03T11:15:54.857+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Farine";"20";"kg";"11924.25";"YASMINA BENATTABOU";"2026-09-03T11:18:13.536+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Arôme Amer";"0";"g";"577.08";"YASMINA BENATTABOU";"2026-09-03T11:19:26.941+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Crémeux pistache";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:31:12.717+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Donut nature";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:32:56.339+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Creme au beurre Vanille Production vitrine";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:15.848+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. creme patissiere vitrine Production";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:23.425+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. glacage buche noisette";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:03.993+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Mini sablé noel";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:33.291+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Cacahuètes";"0";"g";"24033.53";"YASMINA BENATTABOU";"2026-09-03T11:13:39.794+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Amandes Effilees";"1";"kg";"9";"YASMINA BENATTABOU";"2026-09-03T11:14:34.917+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Mixo";"1.514";"kg";"20.99";"YASMINA BENATTABOU";"2026-09-03T11:16:33.395+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Amandes Hachees";"3";"kg";"40.35";"YASMINA BENATTABOU";"2026-09-03T11:14:57.407+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Grue de Cacao";"0";"kg";"1.6";"YASMINA BENATTABOU";"2026-09-03T11:18:05.026+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Tagatesse";"3";"kg";"-256";"YASMINA BENATTABOU";"2026-09-03T11:21:47.242+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Glucose";"6.701";"kg";"-1008.2";"YASMINA BENATTABOU";"2026-09-03T11:28:55.517+00:00";"2026-09-03T21:13:17.195+00:00"
"MP- Chocolat Callebaut Couverture Noir";"8.606";"kg";"5.61";"YASMINA BENATTABOU";"2026-09-03T11:30:19.725+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Farce Kunafa Pistache 2026";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:31:14.511+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Rocher créme";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:33:27.78+00:00";"2026-09-03T21:13:17.195+00:00"
"SM-mini Daquoise";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:33:40.964+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. creme patissiere vitrine Finition";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:21.169+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. cremeux chocolat buche 25";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:26.187+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. crunchy amandes dome";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:41.431+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Ganache Chocolat Foret noir";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:56.541+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Glacage gourmand Finition";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:17.02+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. mini cheese cake aromatisé (Mangue/Passion)";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:31.558+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Mousse cheese passion";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:35.904+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Mousse chocolat buche 25";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:38.056+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche pistache 10 pers 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:30:58.554+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Pr Buche pistache indiv 25";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:31:02.823+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Royal Chocolat 15 cm";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:33:31.814+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. cremeux framboise buche 25";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:31.509+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Ganache Gold";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:01.674+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit a la cuillere 5 pers";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T12:07:28.216+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Tiramisu indiv";"35";"Units";"35";"YASMINA BENATTABOU";"2026-09-02T07:32:45.445+00:00";"2026-09-03T21:13:17.195+00:00"
"SMSu- Quiche Khlii";"0";"Units";"-1";"YASMINA BENATTABOU";"2026-09-02T07:36:37.423+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Tatin Indiv";"102";"Units";"104";"YASMINA BENATTABOU";"2026-09-02T07:38:25.527+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit amande gingembre";"0";"g";"7605";"YASMINA BENATTABOU";"2026-09-02T07:42:40.685+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Fond de tarte nature 18 cm";"10";"Units";"11";"YASMINA BENATTABOU";"2026-09-02T15:07:08.094+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Brownie buche 25";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:03.826+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. caramel beurre sale buche caramel pecan";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:06.372+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. cookie du browcookie";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:10.446+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Creme patissiere Angelo production";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:18.368+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. cremeux noisette buche 25";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:33.981+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Crunchy feuilletine 25";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:43.616+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Farce Cigare amande gingembre";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:48.665+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Farce Cigare amande orange";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:34:54.453+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. glacage chocolat noir (cake cbs) Finition";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:14.539+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. glacage supreme maatok";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:19.895+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. mousse dulcey buche noisette 25";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:39.72+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. mousse meringue citron (kg)";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:45.712+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Pate a choux au kg";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:49.619+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Pâte Chebakia";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:51.213+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Praliné Maison";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:35:52.727+00:00";"2026-09-03T21:13:17.195+00:00"
"SM.Dattes farcies";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:44:16.068+00:00";"2026-09-03T21:13:17.195+00:00"
"SM.Nappage buche 25";"0";"kg";"0";"YASMINA BENATTABOU";"2026-09-03T11:44:19.265+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Micro Croissants";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:44:26.206+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Micro Pain au chocolat";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:44:27.556+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Micro Pain aux raisins";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:44:28.839+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. pate a brioche";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:44:35.233+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Pate a Brioche feuillete";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:44:37.482+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. vanille cremeux PLAQUE en unité (100%) Production";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:46:06.494+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. chantilly mascarpone Production";"0";"g";"0";"YASMINA BENATTABOU";"2026-09-03T11:46:12.084+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- 30 cm Vitrine (Praliné Amandes caramélisées)";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:46:53.159+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Dome mignardise";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:47:10.959+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Tatin 20cm";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:47:36.243+00:00";"2026-09-03T21:13:17.195+00:00"
"SM- Gianduja indiv";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:47:38.826+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm- Pr Gianduja indiv";"0";"Units";"0";"YASMINA BENATTABOU";"2026-09-03T11:48:23.513+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm.crunchy gianduja 10 pers/ U";"10";"Units";"10";"YASMINA BENATTABOU";"2026-09-03T11:58:25.404+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm. crunchy gianduja indiv pers/ U";"206";"Units";"206";"YASMINA BENATTABOU";"2026-09-03T11:58:36.99+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm- PR Le Citron Framboise (10)";"4";"Units";"4";"YASMINA BENATTABOU";"2026-09-03T11:59:39.806+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm- PR Le Citron Framboise (1)";"0";"Units";"1";"YASMINA BENATTABOU";"2026-09-03T11:59:58.099+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm- Le Citron Framboise (5)";"9";"Units";"9";"YASMINA BENATTABOU";"2026-09-03T12:00:02.395+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm- Le Citron Framboise (10)";"4";"Units";"4";"YASMINA BENATTABOU";"2026-09-03T12:00:06.255+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit pistache  10 pers";"14";"Units";"14";"YASMINA BENATTABOU";"2026-09-03T12:00:45.923+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit pistache Indiv";"58";"Units";"58";"YASMINA BENATTABOU";"2026-09-03T12:00:49.719+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. Biscuit a la cuillere 10 pers";"2";"Units";"2";"YASMINA BENATTABOU";"2026-09-03T12:01:12.346+00:00";"2026-09-03T21:13:17.195+00:00"
"Sm. crunchy Pistache indiv pers";"151";"Units";"151";"YASMINA BENATTABOU";"2026-09-03T12:01:51.66+00:00";"2026-09-03T21:13:17.195+00:00"
"SM. crunchy pistache";"1800";"g";"1800";"YASMINA BENATTABOU";"2026-09-03T12:01:55.958+00:00";"2026-09-03T21:13:17.195+00:00"
